feature,importance
RoadType_enc_te,2014.0350174522027
geo_hour_mean,1053.850574014781
road_hour,64.14834453888761
NumberofLanes,47.93382638692856
RoadType_enc,39.83720961259678
geo_tb_mean,37.985763726992445
lanes_hour,16.984961095498875
ts_minutes,6.941785678558517
hour,3.7689286893582903
minute_cos,1.1515600100101437
longitude,0.6760413714073366
geohash_enc,0.3950740465661511
time_bucket_2h,0.37038532132282853
geohash_freq,0.34247442428022623
minute_sin,0.3311561231967062
hour_cos,0.30897899670526385
hour_sin,0.29789870364038507
geo_demand_median,0.27035574009642005
geo_demand_max,0.262678328959737
latitude,0.237268709926866
minute,0.21728625314426608
geo4_enc_te,0.14482273231260478
geo4_enc,0.13300650008022785
landmarks_hour,0.13056646939367056
LargeVehicles_enc,0.11590739712119102
geo5_enc_te,0.10897816065698862
geo_demand_range,0.09901860381069127
geo5_enc,0.09784000448416919
geo_demand_mean,0.09357495186850429
geo_demand_min,0.07691719406284392
geo_demand_std,0.0705981197534129
region_cluster_te,0.05621042987331748
Temperature_filled,0.045701060560531914
dist_to_cluster_center,0.04019839345710352
temp_weather,0.028795600403100252
weather_hour,0.02478705318935681
is_midday,0.019835999235510826
lanes_road,0.018986680079251528
is_evening_rush,0.01580359973013401
geohash_enc_te,0.006858150765765458
region_cluster,0.002445280086249113
time_bucket,0.0
is_morning_rush,0.0
is_business_hour,0.0
day,0.0
is_night,0.0
temp_missing,0.0
temp_bin,0.0
large_road,0.0
Weather_enc,0.0
LargeVehicles_bin,0.0
Landmarks_bin,0.0
geo3_enc,0.0
Landmarks_enc,0.0
