iter	RMSE
0	0.1075402267
1	0.1039426173
2	0.10048376
3	0.09715702211
4	0.09401654283
5	0.09094257294
6	0.08805527462
7	0.0852533515
8	0.08261931917
9	0.08006951011
10	0.07760817508
11	0.07533681578
12	0.07310839705
13	0.07103206561
14	0.06899837671
15	0.06706593697
16	0.0652376189
17	0.06348627703
18	0.06182948675
19	0.06022727396
20	0.05869562334
21	0.05726103374
22	0.05590569852
23	0.05461710731
24	0.05333447707
25	0.05219264552
26	0.05110900065
27	0.05004801229
28	0.04905438747
29	0.04810249949
30	0.04722846292
31	0.04636146155
32	0.04552214098
33	0.04471928792
34	0.0439921615
35	0.04325830666
36	0.04260392521
37	0.04197316048
38	0.04138988133
39	0.04080942912
40	0.04027879581
41	0.03977371095
42	0.03930260746
43	0.03885274064
44	0.03843960736
45	0.03805841395
46	0.03768338972
47	0.03730374272
48	0.03697905994
49	0.0366503023
50	0.03635087764
51	0.03605218198
52	0.03576086732
53	0.03550026941
54	0.03524569726
55	0.03498380809
56	0.03473300566
57	0.03449826468
58	0.03427324859
59	0.034068434
60	0.03389477416
61	0.03372287291
62	0.03356813086
63	0.03338889833
64	0.03323223029
65	0.03307337325
66	0.03291611861
67	0.03280424903
68	0.03265531132
69	0.03252988803
70	0.03239147427
71	0.03227619291
72	0.03216608254
73	0.03206211337
74	0.0319250411
75	0.03183742085
76	0.03174740999
77	0.03164024887
78	0.03156368844
79	0.03146580947
80	0.0313790249
81	0.03129815634
82	0.03121161454
83	0.03113725492
84	0.03105952483
85	0.03099552882
86	0.03092959063
87	0.03083921697
88	0.03077132679
89	0.03069213677
90	0.03060685585
91	0.03054530382
92	0.03047769186
93	0.03041767997
94	0.03034573666
95	0.03029989495
96	0.03022617417
97	0.03018138738
98	0.03011301803
99	0.03005610381
100	0.0300095678
101	0.02995693145
102	0.02990228591
103	0.02985951036
104	0.02980911117
105	0.02975283297
106	0.02971496009
107	0.02967809865
108	0.02964604294
109	0.02961044326
110	0.02957642172
111	0.02952263186
112	0.02947846216
113	0.02944365424
114	0.02940295389
115	0.02936158237
116	0.02932406556
117	0.02928439323
118	0.02925062784
119	0.02919674989
120	0.02916046359
121	0.02913330977
122	0.0290869242
123	0.0290503722
124	0.02903153892
125	0.02900860566
126	0.02897753213
127	0.02895947647
128	0.02891584038
129	0.02888380557
130	0.0288505302
131	0.0288052622
132	0.02876601597
133	0.02874508935
134	0.02872430547
135	0.02868844255
136	0.02866570345
137	0.0286236035
138	0.0285824358
139	0.02854578331
140	0.02851934146
141	0.0284952572
142	0.02846378255
143	0.02844092705
144	0.02841170454
145	0.02838655417
146	0.02836147014
147	0.0283329941
148	0.02831136983
149	0.02829273163
150	0.02826777945
151	0.02823958909
