feature,importance
lanes_road_te,1232.9474811553955
RoadType_enc_te,857.902997970581
geo_pct_highway,164.8818925023079
geo_pct_street,124.8904716912657
geohash_freq,120.59558567404747
LargeVehicles_bin,116.59260928630829
road_hour_te,102.83847784996033
RoadType_enc,91.06397259235382
geo_pct_residential,87.432412289083
road_large_te,76.8604965209961
NumberofLanes,64.50294077396393
lanes_road,39.51940155029297
hour_sin,15.242870092391968
ts_minutes,14.49202810227871
large_road_te,13.028800010681152
longitude,11.756381019949913
minute_sin,11.166440963745117
lanes_hour,10.589799761772156
hour,9.497194081544876
road_hour,8.742339968681335
minute_cos,5.263835940510035
latitude,3.097807765007019
hour_cos,2.071290075778961
time_bucket_4h,1.407729983329773
geohash_enc,0.909608006477356
geo4_enc,0.7263039797544479
time_bucket_2h,0.6240580081939697
geo5_enc,0.41881299018859863
is_business_hour,0.23184099793434143
is_morning_rush,0.0
is_night,0.0
minute,0.0
Landmarks_bin,0.0
LargeVehicles_enc,0.0
Landmarks_enc,0.0
Weather_enc,0.0
geo3_enc,0.0
Temperature_filled,0.0
temp_missing,0.0
weather_hour,0.0
is_highway,0.0
road_large,0.0
large_road,0.0
LargeVehicles_bin_te,0.0
NumberofLanes_te,0.0
