feature,importance
road_large_te,413.12100982666016
lanes_road_te,301.3601200580597
road_hour,259.9227815270424
RoadType_enc,256.7733974456787
road_landmark_te,132.62600708007812
road_hour_te,121.41199378669262
weather_road_te,83.71250343322754
geohash_freq,82.66121819987893
large_road_te,72.26949346065521
geo_large_pct,66.76254212856293
geo_pct_highway,65.40383888036013
geo_pct_residential,62.38115710020065
geo_pct_street,51.06708645820618
landmark_road,42.23028114438057
RoadType_enc_te,40.07676935195923
geo_road_diversity,38.771249771118164
lanes_road,29.835229873657227
LargeVehicles_bin,26.35663938522339
hour_sin,14.763144373893738
large_road,14.59749984741211
NumberofLanes,11.736000061035156
ts_minutes,10.686909914016724
geo_avg_lanes,8.400951784104109
geo_max_lanes,5.659196652472019
dist_center_5,5.439540073275566
cluster_20_te,5.39171701669693
minute_sin,5.292929947376251
geo_landmark_pct,5.140057951211929
lanes_large_te,3.6941099166870117
cluster_10_te,3.492628127336502
minute_cos,2.822550982236862
longitude,2.767135977745056
latitude,2.2565340101718903
hour,2.2171590328216553
road_weather_hour,1.9214799404144287
lanes_hour,1.7158120274543762
geo_modal_road,1.587653549388051
time_bucket_3h,1.4400899410247803
geo5_enc,1.326333999633789
geohash_enc,1.0739279836416245
cluster_10,0.7745609879493713
geo_weather_div,0.7534570097923279
hour_cos,0.7259359955787659
is_evening_rush,0.6960880160331726
geo_temp_mean,0.30420199036598206
LargeVehicles_enc,0.21645599603652954
dist_center_50,0.18541859835386276
is_business_hour,0.0
is_morning_rush,0.0
minute,0.0
time_bucket_4h,0.0
is_night,0.0
is_midday,0.0
time_bucket_2h,0.0
dist_center_10,0.0
cluster_5,0.0
temp_x_road,0.0
road_landmark,0.0
weather_road,0.0
weather_hour,0.0
Landmarks_enc,0.0
Landmarks_bin,0.0
temp_missing,0.0
Temperature_filled,0.0
temp_low,0.0
temp_high,0.0
Weather_enc,0.0
geo4_enc,0.0
geo3_enc,0.0
temp_x_highway,0.0
lanes_large,0.0
is_highway,0.0
road_large,0.0
dist_center_20,0.0
geo_temp_std,0.0
cluster_50,0.0
cluster_20,0.0
lanes_diff,0.0
NumberofLanes_te,0.0
is_max_lanes,0.0
landmark_road_te,0.0
LargeVehicles_bin_te,0.0
