feature,importance
lag_exact,6979.749949042624
lag_best,3254.7242158886875
lag_exact_vs_hour,518.4210272800043
lanes_road_te,166.2169817532831
lag_window_avg,91.84071511414103
lag_neighbor_avg,6.474190488740476
LargeVehicles_enc,4.85352179617621
lag_exact_vs_geo,2.8440224156811627
lag_geo_hour_median,1.839968313935275
lag_geo_hour,1.2392743879960806
lag_-15min,1.0924747543124607
lag_ratio_exact_geo,0.9288683375785922
lag_geo_mean,0.7971959344144999
lag_geo3_hour_mean,0.47935767960697007
NumberofLanes,0.36321780213620514
lag_geo_median,0.274997257790783
lanes_hour,0.13419221977746432
geohash_enc_te,0.10497499799956955
lag_geo_hour_vs_geo,0.08711620148512669
RoadType_enc_te,0.0792094931966858
lag_geo_hour_std,0.06069382641215526
lag_geo_min,0.05328736118204258
lag_geo_tb2,0.050037341896711496
lag_geo_range,0.046310563617598444
road_hour_te,0.042610903769841
Temperature_filled,0.03754732178163067
lag_hour_global,0.02819291145149805
lag_road_hour,0.02739009368428924
lag_geo4_hour_mean,0.0219396409110999
minute_sin,0.018494262565255326
lag_geo_tb,0.01717641793943603
lag_geo_std,0.012269183304606912
lag_+30min,0.01162259384941855
LargeVehicles_bin,0.01003263983875513
minute_cos,0.008425709629859668
road_hour,0.007018623523599388
lag_+15min,0.006919015229948755
geo4_enc_te,0.006882707461613791
geohash_enc,0.005131374986376613
lag_geo5_hour_mean,0.005094950021458544
lag_geo_max,0.005039867339526438
latitude,0.004773948934143846
geo5_enc_te,0.004770524327369685
lag_geo5_mean,0.0047552570613333955
ts_minutes,0.0038074620146630878
weather_hour,0.00277367181162802
hour_cos,0.0027725024349933847
longitude,0.00187460076463708
hour_sin,0.001821902893425431
lag_-30min,0.001173481512614316
lag_geo_count,0.00022870664218999082
hour,0.00018208011488241027
lag_geo4_mean,0.00011613399692578241
minute,0.0
lag_geo3_mean,0.0
lag_road_mean,0.0
Landmarks_bin,0.0
Weather_enc,0.0
RoadType_enc,0.0
Landmarks_enc,0.0
is_evening_rush,0.0
is_night,0.0
time_bucket,0.0
time_bucket_2h,0.0
is_business_hour,0.0
is_morning_rush,0.0
lanes_road,0.0
geo5_enc,0.0
geo3_enc,0.0
temp_missing,0.0
geo4_enc,0.0
large_road,0.0
